lon,lat,ave_ppt_mm
-91.552,31.669,0.020833333333333332
-91.543,31.703,0.02625
-91.551,31.524,0.015833333333333335
-91.541,31.558,0.010416666666666666
-91.531,31.592,0.015833333333333335
-91.522,31.626,0.020833333333333332
-91.512,31.660,0.015833333333333335
-91.503,31.694,0.015833333333333335
-91.549,31.380,0.010416666666666666
-91.539,31.414,0.010416666666666666
-91.530,31.448,0.010416666666666666
-91.520,31.482,0.010416666666666666
-91.511,31.516,0.015833333333333335
-91.501,31.550,0.015833333333333335
-91.491,31.584,0.015833333333333335
-91.482,31.618,0.015833333333333335
-91.472,31.652,0.015833333333333335
-91.463,31.686,0.015833333333333335
-91.547,31.237,0.010416666666666666
-91.538,31.270,0.020833333333333332
-91.528,31.304,0.020833333333333332
-91.519,31.338,0.020833333333333332
-91.509,31.372,0.020833333333333332
-91.499,31.406,0.020833333333333332
-91.490,31.440,0.010416666666666666
-91.480,31.474,0.015833333333333335
-91.471,31.508,0.015833333333333335
-91.461,31.542,0.010416666666666666
-91.452,31.576,0.015833333333333335
-91.442,31.610,0.015833333333333335
-91.432,31.644,0.015833333333333335
-91.423,31.678,0.015833333333333335
-91.555,31.059,0.015833333333333335
-91.545,31.093,0.015833333333333335
-91.536,31.127,0.03666666666666667
-91.526,31.161,0.02625
-91.517,31.195,0.010416666666666666
-91.507,31.228,0.010416666666666666
-91.498,31.262,0.010416666666666666
-91.488,31.296,0.020833333333333332
-91.479,31.330,0.020833333333333332
-91.469,31.364,0.03125
-91.460,31.398,0.020833333333333332
-91.450,31.432,0.020833333333333332
-91.441,31.466,0.020833333333333332
-91.431,31.500,0.010833333333333334
-91.421,31.534,0.015833333333333335
-91.412,31.568,0.015833333333333335
-91.402,31.602,0.010416666666666666
-91.392,31.636,0.010416666666666666
-91.383,31.670,0.010416666666666666
-91.553,30.916,0.015833333333333335
-91.544,30.950,0.02625
-91.534,30.983,0.015833333333333335
-91.525,31.017,0.005416666666666667
-91.515,31.051,0.005416666666666667
-91.506,31.085,0.010416666666666666
-91.496,31.119,0.020833333333333332
-91.487,31.153,0.03125
-91.477,31.186,0.03125
-91.468,31.220,0.020833333333333332
-91.458,31.254,0.010416666666666666
-91.449,31.288,0.020833333333333332
-91.439,31.322,0.020833333333333332
-91.430,31.356,0.03125
-91.420,31.390,0.03125
-91.410,31.424,0.03125
-91.401,31.458,0.03125
-91.391,31.492,0.03125
-91.381,31.526,0.020833333333333332
-91.372,31.560,0.020833333333333332
-91.362,31.594,0.0
-91.352,31.628,0.005416666666666667
-91.343,31.662,0.010416666666666666
-91.333,31.696,0.010416666666666666
-91.551,30.773,0.02625
-91.542,30.806,0.02625
-91.533,30.840,0.03666666666666667
-91.523,30.874,0.03125
-91.514,30.908,0.015833333333333335
-91.504,30.941,0.010416666666666666
-91.495,30.975,0.020833333333333332
-91.485,31.009,0.02625
-91.476,31.043,0.020833333333333332
-91.466,31.077,0.010416666666666666
-91.457,31.111,0.015833333333333335
-91.447,31.144,0.015833333333333335
-91.438,31.178,0.03666666666666667
-91.428,31.212,0.04708333333333333
-91.419,31.246,0.03666666666666667
-91.409,31.280,0.03666666666666667
-91.399,31.314,0.03125
-91.390,31.348,0.03666666666666667
-91.380,31.382,0.03666666666666667
-91.371,31.416,0.03666666666666667
-91.361,31.449,0.03125
-91.351,31.483,0.03125
-91.342,31.517,0.03125
-91.332,31.551,0.03125
-91.322,31.585,0.010416666666666666
-91.313,31.619,0.0
-91.303,31.653,0.0
-91.293,31.687,0.010416666666666666
-91.550,30.630,0.02625
-91.540,30.663,0.02625
-91.531,30.697,0.03666666666666667
-91.522,30.731,0.041666666666666664
-91.512,30.765,0.03666666666666667
-91.503,30.798,0.020833333333333332
-91.493,30.832,0.015833333333333335
-91.484,30.866,0.03666666666666667
-91.474,30.900,0.041666666666666664
-91.465,30.933,0.03125
-91.455,30.967,0.020833333333333332
-91.446,31.001,0.02625
-91.436,31.035,0.020833333333333332
-91.427,31.069,0.015833333333333335
-91.417,31.102,0.0
-91.408,31.136,0.015833333333333335
-91.398,31.170,0.020833333333333332
-91.389,31.204,0.020833333333333332
-91.379,31.238,0.02625
-91.369,31.272,0.042083333333333334
-91.360,31.306,0.03666666666666667
-91.350,31.339,0.03666666666666667
-91.341,31.373,0.03666666666666667
-91.331,31.407,0.03125
-91.321,31.441,0.020833333333333332
-91.311,31.475,0.020833333333333332
-91.302,31.509,0.020833333333333332
-91.292,31.543,0.03125
-91.282,31.577,0.03125
-91.273,31.611,0.020833333333333332
-91.263,31.645,0.010416666666666666
-91.253,31.679,0.0
-91.548,30.487,0.041666666666666664
-91.539,30.521,0.06291666666666666
-91.529,30.554,0.0625
-91.520,30.588,0.04708333333333333
-91.511,30.622,0.03666666666666667
-91.501,30.655,0.02625
-91.492,30.689,0.03125
-91.482,30.723,0.03666666666666667
-91.473,30.756,0.042083333333333334
-91.463,30.790,0.04708333333333333
-91.454,30.824,0.02625
-91.444,30.858,0.02625
-91.435,30.891,0.015833333333333335
-91.425,30.925,0.03125
-91.416,30.959,0.041666666666666664
-91.406,30.993,0.03666666666666667
-91.397,31.027,0.03666666666666667
-91.387,31.060,0.03166666666666667
-91.378,31.094,0.020833333333333332
-91.368,31.128,0.015833333333333335
-91.359,31.162,0.015833333333333335
-91.349,31.196,0.015833333333333335
-91.339,31.230,0.010416666666666666
-91.330,31.263,0.02625
-91.320,31.297,0.03125
-91.310,31.331,0.020833333333333332
-91.301,31.365,0.010416666666666666
-91.291,31.399,0.03125
-91.281,31.433,0.03125
-91.272,31.467,0.020833333333333332
-91.262,31.501,0.010416666666666666
-91.252,31.535,0.010416666666666666
-91.242,31.569,0.020833333333333332
-91.233,31.603,0.020833333333333332
-91.223,31.637,0.020833333333333332
-91.213,31.671,0.010416666666666666
-91.546,30.344,0.0
-91.537,30.378,0.0
-91.528,30.412,0.015833333333333335
-91.518,30.445,0.02625
-91.509,30.479,0.03166666666666667
-91.500,30.513,0.03166666666666667
-91.490,30.546,0.03666666666666667
-91.481,30.580,0.057499999999999996
-91.471,30.614,0.0525
-91.462,30.647,0.03666666666666667
-91.453,30.681,0.020833333333333332
-91.443,30.715,0.015833333333333335
-91.434,30.748,0.020833333333333332
-91.424,30.782,0.02625
-91.415,30.816,0.042083333333333334
-91.405,30.850,0.03125
-91.396,30.883,0.020833333333333332
-91.386,30.917,0.015833333333333335
-91.377,30.951,0.020833333333333332
-91.367,30.985,0.02625
-91.357,31.018,0.041666666666666664
-91.348,31.052,0.03666666666666667
-91.338,31.086,0.03125
-91.329,31.120,0.02625
-91.319,31.154,0.02625
-91.309,31.187,0.010416666666666666
-91.300,31.221,0.010416666666666666
-91.290,31.255,0.010416666666666666
-91.280,31.289,0.010416666666666666
-91.271,31.323,0.015833333333333335
-91.261,31.357,0.02625
-91.251,31.391,0.010416666666666666
-91.242,31.425,0.010416666666666666
-91.232,31.459,0.020833333333333332
-91.222,31.493,0.020833333333333332
-91.212,31.526,0.010416666666666666
-91.203,31.560,0.010416666666666666
-91.193,31.594,0.010416666666666666
-91.183,31.628,0.010416666666666666
-91.173,31.662,0.015833333333333335
-91.163,31.696,0.010416666666666666
-91.554,30.169,0.0
-91.545,30.202,0.0
-91.535,30.236,0.0
-91.526,30.269,0.0
-91.517,30.303,0.0
-91.507,30.336,0.0
-91.498,30.370,0.0
-91.489,30.404,0.0
-91.479,30.437,0.015833333333333335
-91.470,30.471,0.010416666666666666
-91.461,30.504,0.010416666666666666
-91.451,30.538,0.0
-91.442,30.572,0.015833333333333335
-91.432,30.605,0.03125
-91.423,30.639,0.052083333333333336
-91.413,30.673,0.04708333333333333
-91.404,30.706,0.03125
-91.394,30.740,0.015833333333333335
-91.385,30.774,0.015833333333333335
-91.375,30.808,0.020833333333333332
-91.366,30.841,0.020833333333333332
-91.356,30.875,0.03125
-91.347,30.909,0.020833333333333332
-91.337,30.943,0.02625
-91.328,30.976,0.020833333333333332
-91.318,31.010,0.020833333333333332
-91.308,31.044,0.020833333333333332
-91.299,31.078,0.02625
-91.289,31.112,0.020833333333333332
-91.280,31.145,0.015833333333333335
-91.270,31.179,0.03166666666666667
-91.260,31.213,0.015833333333333335
-91.251,31.247,0.010416666666666666
-91.241,31.281,0.010416666666666666
-91.231,31.315,0.010416666666666666
-91.221,31.349,0.010416666666666666
-91.212,31.382,0.020833333333333332
-91.202,31.416,0.020833333333333332
-91.192,31.450,0.010416666666666666
-91.182,31.484,0.010416666666666666
-91.173,31.518,0.010416666666666666
-91.163,31.552,0.010416666666666666
-91.153,31.586,0.010416666666666666
-91.143,31.620,0.010416666666666666
-91.133,31.654,0.010416666666666666
-91.123,31.688,0.015833333333333335
-91.552,30.026,0.0
-91.543,30.060,0.0
-91.534,30.093,0.0
-91.524,30.127,0.0
-91.515,30.160,0.0
-91.506,30.194,0.0
-91.496,30.228,0.0
-91.487,30.261,0.0
-91.478,30.295,0.0
-91.468,30.328,0.0
-91.459,30.362,0.0
-91.450,30.395,0.0
-91.440,30.429,0.0
-91.431,30.463,0.0
-91.421,30.496,0.0
-91.412,30.530,0.010416666666666666
-91.403,30.564,0.010416666666666666
-91.393,30.597,0.0
-91.384,30.631,0.015833333333333335
-91.374,30.665,0.02625
-91.365,30.698,0.03125
-91.355,30.732,0.020833333333333332
-91.346,30.766,0.015833333333333335
-91.336,30.799,0.010416666666666666
-91.327,30.833,0.010416666666666666
-91.317,30.867,0.015833333333333335
-91.307,30.901,0.015833333333333335
-91.298,30.934,0.015833333333333335
-91.288,30.968,0.020833333333333332
-91.279,31.002,0.020833333333333332
-91.269,31.036,0.02625
-91.259,31.070,0.010416666666666666
-91.250,31.103,0.015833333333333335
-91.240,31.137,0.020833333333333332
-91.230,31.171,0.020833333333333332
-91.221,31.205,0.02625
-91.211,31.239,0.03166666666666667
-91.201,31.272,0.03166666666666667
-91.191,31.306,0.020833333333333332
-91.182,31.340,0.0
-91.172,31.374,0.010416666666666666
-91.162,31.408,0.015833333333333335
-91.152,31.442,0.015833333333333335
-91.143,31.476,0.015833333333333335
-91.133,31.510,0.020833333333333332
-91.123,31.544,0.02625
-91.113,31.578,0.03125
-91.103,31.612,0.02625
-91.093,31.646,0.020833333333333332
-91.083,31.680,0.020833333333333332
-91.551,29.885,0.0
-91.541,29.918,0.0
-91.532,29.951,0.0
-91.523,29.985,0.0
-91.514,30.018,0.0
-91.504,30.052,0.0
-91.495,30.085,0.0
-91.486,30.119,0.0
-91.476,30.152,0.0
-91.467,30.186,0.0
-91.458,30.220,0.0
-91.448,30.253,0.0
-91.439,30.287,0.0
-91.430,30.320,0.0
-91.420,30.354,0.0
-91.411,30.387,0.0
-91.401,30.421,0.0
-91.392,30.455,0.0
-91.382,30.488,0.0
-91.373,30.522,0.0
-91.364,30.555,0.0
-91.354,30.589,0.010416666666666666
-91.345,30.623,0.0
-91.335,30.656,0.0
-91.326,30.690,0.015833333333333335
-91.316,30.724,0.02625
-91.306,30.757,0.02625
-91.297,30.791,0.020833333333333332
-91.287,30.825,0.010416666666666666
-91.278,30.859,0.0
-91.268,30.892,0.0
-91.258,30.926,0.010416666666666666
-91.249,30.960,0.015833333333333335
-91.239,30.994,0.015833333333333335
-91.230,31.027,0.03125
-91.220,31.061,0.03125
-91.210,31.095,0.015833333333333335
-91.201,31.129,0.0
-91.191,31.163,0.010416666666666666
-91.181,31.196,0.015833333333333335
-91.171,31.230,0.015833333333333335
-91.162,31.264,0.02625
-91.152,31.298,0.03166666666666667
-91.142,31.332,0.03166666666666667
-91.132,31.366,0.010416666666666666
-91.122,31.400,0.0
-91.113,31.434,0.0
-91.103,31.467,0.015833333333333335
-91.093,31.501,0.015833333333333335
-91.083,31.535,0.015833333333333335
-91.073,31.569,0.020833333333333332
-91.063,31.603,0.02625
-91.053,31.637,0.02625
-91.044,31.671,0.020833333333333332
-91.549,29.743,0.0
-91.540,29.776,0.0
-91.530,29.810,0.0
-91.521,29.843,0.0
-91.512,29.877,0.0
-91.503,29.910,0.0
-91.493,29.943,0.0
-91.484,29.977,0.0
-91.475,30.010,0.0
-91.466,30.044,0.0
-91.456,30.077,0.0
-91.447,30.111,0.0
-91.438,30.144,0.0
-91.428,30.178,0.0
-91.419,30.211,0.0
-91.409,30.245,0.0
-91.400,30.279,0.0
-91.391,30.312,0.0
-91.381,30.346,0.0
-91.372,30.379,0.0
-91.362,30.413,0.0
-91.353,30.446,0.0
-91.343,30.480,0.0
