lon,lat,ave_ppt_mm
-91.552,31.669,0.10416666666666667
-91.543,31.703,0.057499999999999996
-91.551,31.524,0.09416666666666666
-91.541,31.558,0.08333333333333333
-91.531,31.592,0.08333333333333333
-91.522,31.626,0.07833333333333332
-91.512,31.660,0.07291666666666667
-91.503,31.694,0.0625
-91.549,31.380,0.12
-91.539,31.414,0.14083333333333334
-91.530,31.448,0.14083333333333334
-91.520,31.482,0.14583333333333334
-91.511,31.516,0.14083333333333334
-91.501,31.550,0.15166666666666664
-91.491,31.584,0.14583333333333334
-91.482,31.618,0.11458333333333333
-91.472,31.652,0.10416666666666667
-91.463,31.686,0.08333333333333333
-91.547,31.237,0.19833333333333333
-91.538,31.270,0.19833333333333333
-91.528,31.304,0.1725
-91.519,31.338,0.15666666666666665
-91.509,31.372,0.15125
-91.499,31.406,0.15125
-91.490,31.440,0.14083333333333334
-91.480,31.474,0.15125
-91.471,31.508,0.1825
-91.461,31.542,0.235
-91.452,31.576,0.1875
-91.442,31.610,0.1875
-91.432,31.644,0.15125
-91.423,31.678,0.13541666666666666
-91.555,31.059,0.27625
-91.545,31.093,0.27625
-91.536,31.127,0.245
-91.526,31.161,0.18791666666666665
-91.517,31.195,0.24541666666666664
-91.507,31.228,0.2558333333333333
-91.498,31.262,0.15666666666666665
-91.488,31.296,0.13041666666666665
-91.479,31.330,0.1825
-91.469,31.364,0.14083333333333334
-91.460,31.398,0.14083333333333334
-91.450,31.432,0.13583333333333333
-91.441,31.466,0.15125
-91.431,31.500,0.1775
-91.421,31.534,0.20833333333333334
-91.412,31.568,0.21375
-91.402,31.602,0.22958333333333333
-91.392,31.636,0.23458333333333334
-91.383,31.670,0.21375
-91.553,30.916,0.27625
-91.544,30.950,0.20875
-91.534,30.983,0.245
-91.525,31.017,0.2658333333333333
-91.515,31.051,0.28125
-91.506,31.085,0.2920833333333333
-91.496,31.119,0.24
-91.487,31.153,0.21375
-91.477,31.186,0.1725
-91.468,31.220,0.22958333333333333
-91.458,31.254,0.245
-91.449,31.288,0.19291666666666665
-91.439,31.322,0.18791666666666665
-91.430,31.356,0.16708333333333333
-91.420,31.390,0.18791666666666665
-91.410,31.424,0.17208333333333334
-91.401,31.458,0.17208333333333334
-91.391,31.492,0.22416666666666665
-91.381,31.526,0.22958333333333333
-91.372,31.560,0.17208333333333334
-91.362,31.594,0.1775
-91.352,31.628,0.22416666666666665
-91.343,31.662,0.22416666666666665
-91.333,31.696,0.22916666666666666
-91.551,30.773,0.20875
-91.542,30.806,0.1825
-91.533,30.840,0.19833333333333333
-91.523,30.874,0.21916666666666665
-91.514,30.908,0.27625
